"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","679","Data-Driven проверка: 121 мин -> Стоимость: 300 руб","chromium","Mon Apr 13 14:15:00 UTC 2026","passed","Mon Apr 13 14:15:01 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","932","Data-Driven проверка: 20 мин -> Стоимость: 100 руб","webkit","Mon Apr 13 14:15:09 UTC 2026","passed","Mon Apr 13 14:15:10 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","542","Data-Driven проверка: 20 мин -> Стоимость: 100 руб","chromium","Mon Apr 13 14:14:59 UTC 2026","passed","Mon Apr 13 14:15:00 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","3416","Парковка 10 минут должна быть бесплатной","webkit","Mon Apr 13 14:15:03 UTC 2026","passed","Mon Apr 13 14:15:06 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","765","Парковка 1 час 10 минут должна стоить 200 рублей (округление)","firefox","Mon Apr 13 14:15:01 UTC 2026","passed","Mon Apr 13 14:15:02 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","661","Data-Driven проверка: 5 мин -> Бесплатно","firefox","Mon Apr 13 14:15:02 UTC 2026","passed","Mon Apr 13 14:15:03 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","782","Data-Driven проверка: 60 мин -> Стоимость: 100 руб","firefox","Mon Apr 13 14:15:04 UTC 2026","passed","Mon Apr 13 14:15:05 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","963","Data-Driven проверка: 15 мин -> Бесплатно","webkit","Mon Apr 13 14:15:08 UTC 2026","passed","Mon Apr 13 14:15:09 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","995","Data-Driven проверка: 60 мин -> Стоимость: 100 руб","webkit","Mon Apr 13 14:15:10 UTC 2026","passed","Mon Apr 13 14:15:11 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","914","Data-Driven проверка: 5 мин -> Бесплатно","webkit","Mon Apr 13 14:15:07 UTC 2026","passed","Mon Apr 13 14:15:08 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","693","Data-Driven проверка: 121 мин -> Стоимость: 300 руб","firefox","Mon Apr 13 14:15:05 UTC 2026","passed","Mon Apr 13 14:15:06 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","744","Data-Driven проверка: 15 мин -> Бесплатно","firefox","Mon Apr 13 14:15:03 UTC 2026","passed","Mon Apr 13 14:15:04 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","1204","Парковка 10 минут должна быть бесплатной","chromium","Mon Apr 13 14:14:56 UTC 2026","passed","Mon Apr 13 14:14:58 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","1140","Парковка 1 час 10 минут должна стоить 200 рублей (округление)","webkit","Mon Apr 13 14:15:06 UTC 2026","passed","Mon Apr 13 14:15:07 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","403","Data-Driven проверка: 15 мин -> Бесплатно","chromium","Mon Apr 13 14:14:59 UTC 2026","passed","Mon Apr 13 14:14:59 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","1011","Data-Driven проверка: 121 мин -> Стоимость: 300 руб","webkit","Mon Apr 13 14:15:11 UTC 2026","passed","Mon Apr 13 14:15:12 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","4856","Парковка 10 минут должна быть бесплатной","firefox","Mon Apr 13 14:14:56 UTC 2026","passed","Mon Apr 13 14:15:01 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","586","Data-Driven проверка: 5 мин -> Бесплатно","chromium","Mon Apr 13 14:14:58 UTC 2026","passed","Mon Apr 13 14:14:59 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","417","Data-Driven проверка: 60 мин -> Стоимость: 100 руб","chromium","Mon Apr 13 14:15:00 UTC 2026","passed","Mon Apr 13 14:15:00 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","639","Парковка 1 час 10 минут должна стоить 200 рублей (округление)","chromium","Mon Apr 13 14:14:58 UTC 2026","passed","Mon Apr 13 14:14:58 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
"","6","Округление до целого часа вверх","Unit тесты: Расчет стоимости парковки","Mon Apr 13 14:14:48 UTC 2026","passed","Mon Apr 13 14:14:48 UTC 2026","","","",""
"","5","Бесплатно, если время <= 15 минут","Unit тесты: Расчет стоимости парковки","Mon Apr 13 14:14:48 UTC 2026","passed","Mon Apr 13 14:14:48 UTC 2026","","","",""
"","664","Data-Driven проверка: 20 мин -> Стоимость: 100 руб","firefox","Mon Apr 13 14:15:04 UTC 2026","passed","Mon Apr 13 14:15:04 UTC 2026","Тесты парковочного счетчика","parking.spec.js","",""
